      x         u
      0.000000       0.000000
      0.005000       0.000000
      0.010000       0.000000
      0.015000       0.000000
      0.020000       0.000000
      0.025000       0.000000
      0.030000       0.000000
      0.035000       0.000000
      0.040000      -0.000000
      0.045000      -0.000000
      0.050000      -0.000000
      0.055000      -0.000000
      0.060000      -0.000000
      0.065000      -0.000000
      0.070000      -0.000000
      0.075000      -0.000000
      0.080000       0.000000
      0.085000       0.000000
      0.090000       0.000000
      0.095000       0.000000
      0.100000       0.000000
      0.105000       0.000000
      0.110000       0.000000
      0.115000       0.000000
      0.120000      -0.000000
      0.125000      -0.000000
      0.130000      -0.000001
      0.135000      -0.000002
      0.140000      -0.000002
      0.145000      -0.000003
      0.150000      -0.000003
      0.155000      -0.000001
      0.160000       0.000002
      0.165000       0.000008
      0.170000       0.000016
      0.175000       0.000026
      0.180000       0.000034
      0.185000       0.000039
      0.190000       0.000033
      0.195000       0.000010
      0.200000      -0.000036
      0.205000      -0.000106
      0.210000      -0.000198
      0.215000      -0.000296
      0.220000      -0.000374
      0.225000      -0.000390
      0.230000      -0.000297
      0.235000      -0.000044
      0.240000       0.000398
      0.245000       0.001023
      0.250000       0.001762
      0.255000       0.002472
      0.260000       0.002927
      0.265000       0.002842
      0.270000       0.001922
      0.275000      -0.000056
      0.280000      -0.003143
      0.285000      -0.007111
      0.290000      -0.011368
      0.295000      -0.014947
      0.300000      -0.016586
      0.305000      -0.014927
      0.310000      -0.008836
      0.315000       0.002193
      0.320000       0.017641
      0.325000       0.035665
      0.330000       0.053036
      0.335000       0.065405
      0.340000       0.067972
      0.345000       0.056501
      0.350000       0.028553
      0.355000      -0.015310
      0.360000      -0.070681
      0.365000      -0.129139
      0.370000      -0.179003
      0.375000      -0.207103
      0.380000      -0.201381
      0.385000      -0.153943
      0.390000      -0.063890
      0.395000       0.060775
      0.400000       0.202859
      0.405000       0.337729
      0.410000       0.437125
      0.415000       0.474536
      0.420000       0.431202
      0.425000       0.301462
      0.430000       0.096102
      0.435000      -0.157371
      0.440000      -0.418036
      0.445000      -0.638216
      0.450000      -0.772398
      0.455000      -0.786731
      0.460000      -0.667036
      0.465000      -0.423461
      0.470000      -0.090433
      0.475000       0.278413
      0.480000       0.619610
      0.485000       0.871773
      0.490000       0.987632
      0.495000       0.943651
      0.500000       0.745113
      0.505000       0.425512
      0.510000       0.040288
      0.515000      -0.343792
      0.520000      -0.661418
      0.525000      -0.860992
      0.530000      -0.913871
      0.535000      -0.818776
      0.540000      -0.600685
      0.545000      -0.304667
      0.550000       0.013786
      0.555000       0.299771
      0.560000       0.509008
      0.565000       0.614973
      0.570000       0.611953
      0.575000       0.513824
      0.580000       0.349228
      0.585000       0.154525
      0.590000      -0.033826
      0.595000      -0.185876
      0.600000      -0.282625
      0.605000      -0.317727
      0.610000      -0.296545
      0.615000      -0.233166
      0.620000      -0.146288
      0.625000      -0.054997
      0.630000       0.024746
      0.635000       0.082334
      0.640000       0.113294
      0.645000       0.118757
      0.650000       0.103990
      0.655000       0.076490
      0.660000       0.044100
      0.665000       0.013510
      0.670000      -0.010656
      0.675000      -0.026135
      0.680000      -0.032805
      0.685000      -0.032116
      0.690000      -0.026387
      0.695000      -0.018134
      0.700000      -0.009553
      0.705000      -0.002216
      0.710000       0.003023
      0.715000       0.005958
      0.720000       0.006864
      0.725000       0.006285
      0.730000       0.004845
      0.735000       0.003106
      0.740000       0.001484
      0.745000       0.000223
      0.750000      -0.000588
      0.755000      -0.000977
      0.760000      -0.001038
      0.765000      -0.000890
      0.770000      -0.000644
      0.775000      -0.000384
      0.780000      -0.000165
      0.785000      -0.000009
      0.790000       0.000080
      0.795000       0.000115
      0.800000       0.000114
      0.805000       0.000091
      0.810000       0.000062
      0.815000       0.000034
      0.820000       0.000013
      0.825000      -0.000001
      0.830000      -0.000008
      0.835000      -0.000010
      0.840000      -0.000009
      0.845000      -0.000007
      0.850000      -0.000004
      0.855000      -0.000002
      0.860000      -0.000001
      0.865000       0.000000
      0.870000       0.000001
      0.875000       0.000001
      0.880000       0.000001
      0.885000       0.000000
      0.890000       0.000000
      0.895000       0.000000
      0.900000       0.000000
      0.905000      -0.000000
      0.910000      -0.000000
      0.915000      -0.000000
      0.920000      -0.000000
      0.925000      -0.000000
      0.930000      -0.000000
      0.935000      -0.000000
      0.940000      -0.000000
      0.945000       0.000000
      0.950000       0.000000
      0.955000       0.000000
      0.960000       0.000000
      0.965000       0.000000
      0.970000       0.000000
      0.975000       0.000000
      0.980000       0.000000
      0.985000      -0.000000
      0.990000      -0.000000
      0.995000      -0.000000
      1.000000      -0.000000
